trace,level,rho_target,k,policy,score,guard,G,B0,eta,Bmax,Ncap,p99_dl_s,gap_closed,gap_lo,gap_hi,red_pct,red_lo,red_hi,mean_s,mean_gap,mean_gap_lo,mean_gap_hi,mean_red_pct,p99_all_s,max_excess_s,harm_wf1s_s,max_heavy_s,qw_fired,used_over_allowed,guar_excess_s
primary,0,0.5,7.8,FCFS,-,-,-1.0,-1.0,-1.0,0.0,-1,27.64457209587104,0.0,0.0,0.0,0.0,0.0,0.0,0.718913425317915,0.0,0.0,0.0,0.0,15.187389673620464,0.0,0.0,486.8657468855381,1.0,,inf
primary,0,0.5,7.8,SJF-ref,svc,-,-1.0,-1.0,-1.0,0.0,-1,10.587548668384589,1.0,1.0,1.0,61.95517310582242,58.747167900185886,66.3615678673505,0.22814776619702135,1.0,1.0,1.0,68.3830448516218,5.099242272734648,1034.0366929620504,595.9371635168791,1185.8985834121704,0.0,,inf
primary,0,0.5,7.8,SPJF-M4,M4,-,-1.0,-1.0,-1.0,0.0,-1,14.727770876139449,0.7528488667222545,0.721324028075664,0.7761070372429358,46.64074299874348,43.937031525076826,49.927773837356845,0.29508347505108284,0.8652440851543007,0.7958063100896474,0.8954616260882704,59.17743648591286,6.633935316711667,1244.820608831942,396.44462636113167,1365.8095551505685,0.0,,inf
primary,0,0.5,7.8,SPJF-M4refit,M4refit,-,-1.0,-1.0,-1.0,0.0,-1,14.723947255760493,0.7533956899209809,0.72169304898799,0.7759815576016349,46.676120705075924,43.96211789790886,49.984215227746525,0.295380416446663,0.8647390427028718,0.79552344585258,0.8943889102307236,59.14323530476598,6.644057379394778,1234.3418648540974,396.4730074107647,1380.6950914300978,0.0,,inf
primary,0,0.5,7.8,SPJF-tweedie,tweedie,-,-1.0,-1.0,-1.0,0.0,-1,14.725104676485111,0.7515004250616844,0.7229423045631915,0.7753327475054452,46.549775644246466,43.73909546430128,49.920130831566595,0.2922781765343986,0.8705374234981601,0.8049814673460008,0.8987765760843394,59.53830392649836,6.6256504631340665,1242.4782217144966,238.06104281917212,1369.4833024255931,0.0,,inf
primary,0,0.5,7.8,SPJF-tweedie_itr,tweedie_itr,-,-1.0,-1.0,-1.0,0.0,-1,14.68564381316315,0.7536165163570672,0.7236249947302611,0.7757784535623642,46.68212937119794,43.80651119909056,49.96697692968844,0.2912634040102638,0.8722058790099861,0.8073913860541718,0.9007039543793053,59.65229690076423,6.569656823247676,1019.2273174710572,248.76646514236927,1179.1338404119017,0.0,,inf
primary,0,0.5,7.8,SPJF-r1s,r1s,-,-1.0,-1.0,-1.0,0.0,-1,14.873575423248212,0.7411285192756802,0.7067272382364179,0.7667774855460551,45.901619708689836,43.21982087525844,48.84242295685714,0.2901307666525197,0.8741050969336313,0.8161505513660057,0.9001731813823561,59.78110091227546,6.595658995956187,990.6785716712476,242.77503776550293,1178.7785927206278,0.0,,inf
primary,0,0.5,7.8,FIX-G300,tweedie,fix,300.0,1080.0,0.0,1080.0,0,15.30783447220928,0.7203554989807491,0.6944737562385838,0.7387451186925134,44.62689332204961,41.70780398765678,48.05851999478978,0.3480765900903765,0.7583260106350334,0.7256798553143019,0.7815572662850039,51.864621205074954,6.919641230165965,201.1523720473051,187.8596296608448,630.2782570570707,0.00769796427748576,0.6705079068243504,300.0
primary,0,0.5,7.8,FIXSEL-G300,tweedie,fixsel,300.0,240.0,0.0,1080.0,0,17.47662665337327,0.6003090132920195,0.5565064527655365,0.6313924985646968,37.21155697388526,33.984049467691825,40.52705464839293,0.44670709952658544,0.5572222017251627,0.5289093735206525,0.6070784269869762,38.10774935565216,7.6935582764744925,94.04029141366482,74.70288950204849,516.3889754712582,0.08511154620055017,0.4876163258486324,194.57142857142858
primary,0,0.5,7.8,CAP-G300,tweedie,cap,300.0,60.0,0.5,1080.0,0,16.00868074089292,0.680001415756095,0.64975400711983,0.7029680545404552,42.132209889774956,39.45753071946229,45.40873306819731,0.34714464805068673,0.7613296297969951,0.726965142730941,0.7855280297077198,52.08033255724397,7.094648362070329,193.0745974630117,97.2351082265377,630.3877047300339,0.019726262551311623,0.6435819915433725,300.0
