rep,level,k,rho_busy,predictor,policy,n_jobs,w_mean,w_p95,w_p99,w_max,w_mean_dl,w_p95_dl,w_p99_dl,w_mean_exam,w_p99_exam,mean_heavy,p95_heavy,p99_heavy,max_heavy,max_excess,max_excess_dl,p99_excess,mean_excess,max_excess_wf0,p9999_excess_wf0,max_excess_wflt10,gap_p99dl,gap_mean,fcfs_p99dl,sjf_p99dl,fcfs_mean,sjf_mean,guar_excess_at0,guar_excess_at_fcfs_p99dl,guar_excess_max,bound_viol,used_over_allowed,forced_frac,qw_forced_frac,n_forced,n_disp,max_span,n_rebuild,secs
k1rep0,0,1,0.8000130043447845,M4,FCFS,3209347,6.59351294323696,27.249932944774628,152.97509937405604,1427.2557502239945,10.471864176623694,48.526888751983606,221.27438719391904,12.472828796589472,274.5419465249748,39.401774381719584,182.8362238377332,695.0613024312262,1423.5231717079878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150275,inf,inf,inf,-1,,1.0,1.0,3209347,3209347,0,0,0.2
k1rep0,0,1,0.8000130043447845,M4,SJF-ref,3209347,1.8712898318150275,10.32135303765532,37.35432439118627,2366.659153208137,3.3724701450568397,18.281853961944545,45.324836370348976,2.892596168504602,44.290975388884505,38.47234244103261,129.2820306956767,902.3543060708048,2366.659153208137,2054.5022542625666,2054.5022542625666,2.2921939939260483,-4.722223111421932,777.9388248920441,7.514958973781462,1135.8084733486176,1.0,1.0,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150275,inf,inf,inf,-1,,0.0,0.0,0,3209347,0,0,0.2
k1rep0,0,1,0.8000130043447845,M4,SPJF,3209347,2.520453425980268,11.976046685874412,44.39347506254912,2698.216522682458,5.023119818918065,22.182912251353255,64.7432583588362,4.024415056101777,59.98848054081172,43.96950583211176,175.77136809527866,797.1190284752857,2698.216522682458,2520.289903718978,2016.8054979890585,3.828770798444768,-4.073059517256691,400.13551637530327,7.432448785228102,746.6835958510637,0.8896364219312007,0.8625300882978042,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150275,inf,inf,inf,-1,,0.0,0.0,0,3209347,0,0,0.2
k1rep0,0,1,0.8000130043447845,M4,FIX-B30,3209347,4.564142770382018,14.81044310033308,87.3009316569567,1469.3211511671543,7.936054855474482,29.234701970219607,176.24413373231965,9.539551964339172,257.2524973224088,42.05737886587794,206.93573989495636,720.3387235587854,1465.5885726511478,86.61479866504669,86.61479866504669,14.657083359956776,-2.0293701728549407,82.36808481812477,7.432448785228102,82.36808481812477,0.2559270725661164,0.42974889685885,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150275,90.0,90.0,90.0,0,0.962386651833852,0.0077554717517301,0.319434889447913,24890,3209347,3349,0,1.1
k1rep0,0,1,0.8000130043447845,M4,FIX-B120,3209347,3.635854398912806,13.039348118007156,56.781473444402295,1556.435716405511,6.606832032259557,24.841137474775305,112.3792096883063,7.638032190231842,171.0577144750935,44.179170209215975,231.4640795469281,784.4554915893078,1552.7031378895044,172.90197667479515,172.77962589263916,5.36328602582217,-2.957658544324153,163.8641443401575,7.432448785228102,172.3509946167469,0.6189000028468684,0.6263275738010521,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150275,180.0,180.0,180.0,0,0.9605665370821952,0.0020536888033609,0.1336388235879808,6591,3209347,3314,0,1.1
k1rep0,0,1,0.8000130043447845,M4,FIX-B300,3209347,3.0591165825705966,12.426724249124476,49.14688510686161,1727.490495055914,5.777750658789374,23.18989716768262,81.97394582688842,6.038144034353937,98.1776963753992,44.49247860445264,213.13774156868408,884.6929799675943,1723.7579165399077,348.96757313609123,348.96757313609123,4.243037971556192,-3.534396360666362,332.8116790652275,7.432448785228102,332.8116790652275,0.7917067177211005,0.7484602648522686,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150275,360.0,359.99999999999994,360.0,0,0.9693543698224756,0.0006562082566952,0.051996611024489,2106,3209347,3314,0,1.1
k1rep0,0,1,0.8000130043447845,M4,FIX-B600,3209347,2.7421392340152773,12.21304162293672,46.59888222426178,2028.9763973504305,5.346957453391047,22.64190071821212,71.21737743020063,4.888846304799935,71.20880557350718,44.9058610675442,191.9953146964311,930.012127006656,2025.243818834424,646.4900513626635,639.0217250026762,3.9215287598967783,-3.851373709221682,400.13551637530327,7.432448785228102,604.1965508460999,0.8528411073591493,0.8155848672008164,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150275,660.0,660.0,660.0,0,0.9795303808525204,0.0002511414315747,0.02197719526004,806,3209347,3314,0,1.0
k1rep0,0,1,0.8000130043447845,M4,FIX-B1200,3209347,2.5979118934301,12.05681373924012,45.24420749366288,2235.348172575236,5.146186332730607,22.339889845252003,67.09469352424182,4.421102443896815,64.28411040231573,44.79818508034944,179.95208478868005,892.8967167182333,2235.348172575236,1250.3473480828106,1250.3473480828106,3.8614394560456313,-3.9956010498068593,400.13551637530327,7.432448785228102,746.6835958510637,0.8762721640834301,0.8461271218088898,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150275,1260.0,1260.0,1260.0,0,0.9923391651450878,5.639776565139264e-05,0.004720953120972,181,3209347,3344,0,1.0
k1rep0,0,1,0.8000130043447845,M4,FIX-B1800,3209347,2.554159349253835,12.002031044661976,44.76137871474028,2431.0854062885046,5.070126977781586,22.24398737996816,65.77214745044716,4.161924104821394,61.43737535566053,44.07205884234446,177.29575394391952,797.1190284752857,2431.0854062885046,1836.4498243965209,1800.91432133317,3.8406931191682823,-4.039353593983124,400.13551637530327,7.432448785228102,746.6835958510637,0.883788784998938,0.8553923647133256,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150275,1860.0,1860.0,1860.0,0,0.9873386152669468,1.059405542622845e-05,0.0005078021198474,34,3209347,3344,0,1.1
k1rep0,0,1,0.8000130043447845,M4,FIX-B3600,3209347,2.520453425980268,11.976046685874412,44.39347506254912,2698.216522682458,5.023119818918065,22.182912251353255,64.7432583588362,4.024415056101777,59.98848054081172,43.96950583211176,175.77136809527866,797.1190284752857,2698.216522682458,2520.289903718978,2016.8054979890585,3.828770798444768,-4.073059517256691,400.13551637530327,7.432448785228102,746.6835958510637,0.8896364219312007,0.8625300882978042,221.27438719391904,45.324836370348976,6.59351294323696,1.8712898318150275,3660.0,3660.0,3660.0,0,0.6886037988303219,0.0,0.0,0,3209347,3290,0,1.2
